case_label,model,protocol,djs_error_mean,djs_error_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,acc_mean,acc_std,saturation_mean
UC6 ratio=0.1,RF,isotonic_plus_prior,0.09876598408084336,0.09699118243219763,0.3636567234972651,0.03366347425375597,0.6734120654031945,0.09626925589649664,0.22418416119599707,0.025907112064429624,0.7127272727272727,0.12737009262722462,0.0018181818181818182
UC6 ratio=0.1,RF,platt_plus_prior,0.09135255378053535,0.05340901507735583,0.3874922780949149,0.02768840566179138,0.661831295767277,0.03269181542503951,0.23666456064375524,0.012915177292976303,0.4163636363636364,0.08916508971083076,0.0
UC6 ratio=0.1,RF,raw_no_prior,2.246345353310102,1.8874610480442062,0.08166818181818186,0.03231430020801758,1.019999521840972,0.7981365138617991,0.08542692045454545,0.01701988103866891,0.9090909090909092,0.01818181818181818,0.5163636363636364
UC6 ratio=0.1,RF,raw_plus_prior,1.6323616759491753,1.705290706195372,0.24836217411550318,0.054028223763736394,0.7803865310880701,0.33839696161693633,0.19025040719077904,0.04378284744429384,0.7072727272727273,0.07987593685995927,0.32545454545454544
UC6 ratio=0.1,RF,temperature_plus_prior,0.45849438133177073,0.45270031193968246,0.4701679401472522,0.06643726492719335,1.0425598802700142,0.19938628216829934,0.38135407253188236,0.07652084994843107,0.40545454545454546,0.10748822730078147,0.13999999999999999
UC6 ratio=0.1,XGBoost,isotonic_plus_prior,0.12473191976476894,0.08569635746309745,0.34194484290472504,0.03660245517864785,0.6395699155325222,0.09151633043581846,0.21763565414443092,0.03807690617270577,0.44545454545454544,0.051425947722658,0.06909090909090909
UC6 ratio=0.1,XGBoost,platt_plus_prior,0.07093218912055685,0.07362462516703971,0.38869276936346303,0.01713930306049257,0.6509434496938502,0.044246852447228244,0.22987038430967743,0.02091644845672856,0.610909090909091,0.07643935639846514,0.0
UC6 ratio=0.1,XGBoost,raw_no_prior,0.8597195407907696,0.5785626320693763,0.07227103252302515,0.023793937389237317,0.3193497348480753,0.10734467258942426,0.0787018550004627,0.01803554642707297,0.9109090909090909,0.013483997249264855,0.4254545454545455
UC6 ratio=0.1,XGBoost,raw_plus_prior,0.2918666216001081,0.32910188291817427,0.2358507447456085,0.03627730267525353,0.5046998475587993,0.10711191768142374,0.16549923717990295,0.03948805249996532,0.76,0.07146634184375837,0.0
UC6 ratio=0.1,XGBoost,temperature_plus_prior,0.13599761384241543,0.13821455812571065,0.3948973659117513,0.02951493779650708,0.7344298489378858,0.10521393137244808,0.2618827334112039,0.043416445444519884,0.5727272727272728,0.08455034198971942,0.0
