seed,model,calibration,prior_order,accuracy,nll,brier,ece,djs_est,djs_gt,djs_error,saturation,case,case_label,protocol
4,RF,platt,prior->calibration,0.9090909090909091,0.2854086416438825,0.07776505810789763,0.07295482291782637,-0.4840109908821958,0.13049016892910004,0.6145011598112958,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
4,RF,platt,calibration->prior,0.4909090909090909,0.6096889354750974,0.2167816308989299,0.33960687313563387,0.042700887087671835,0.13049016892910004,0.0877892818414282,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
4,RF,isotonic,prior->calibration,0.9090909090909091,0.2677146019020696,0.07232501370524066,0.03133973820841467,-0.3966014913399242,0.13049016892910004,0.5270916602690242,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
4,RF,isotonic,calibration->prior,0.6545454545454545,0.5575292604686144,0.1863666402350569,0.30846368288492504,0.08441199205490724,0.13049016892910004,0.0460781768741928,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
4,RF,temperature,prior->calibration,0.8181818181818182,0.4411671419155058,0.13803558716859107,0.23421728075206277,-0.14433292541975806,0.13049016892910004,0.2748230943488581,0.37272727272727274,use_case_6,UC6 ratio=0.1,prior->calibration
4,RF,temperature,calibration->prior,0.5363636363636364,0.7917430318718107,0.2867180725508219,0.378286022055363,-0.24154089656927236,0.13049016892910004,0.3720310654983724,0.37272727272727274,use_case_6,UC6 ratio=0.1,calibration->prior
4,XGBoost,platt,prior->calibration,0.9090909090909091,0.2660012578117117,0.07285152742523067,0.03993218501973301,-0.3596503200357485,0.13049016892910004,0.4901404889648485,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
4,XGBoost,platt,calibration->prior,0.6363636363636364,0.6279971417506129,0.21825324151192585,0.37367330850404556,0.09665217311907315,0.13049016892910004,0.03383799581002689,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
4,XGBoost,isotonic,prior->calibration,0.9272727272727272,0.5576600350861791,0.07012390188287299,0.01774436563455857,-0.3049592287577132,0.13049016892910004,0.43544939768681323,0.09090909090909091,use_case_6,UC6 ratio=0.1,prior->calibration
4,XGBoost,isotonic,calibration->prior,0.45454545454545453,0.7023357453402631,0.1926877901072752,0.3231390757326126,0.07212907162353688,0.13049016892910004,0.05836109730556316,0.09090909090909091,use_case_6,UC6 ratio=0.1,calibration->prior
4,XGBoost,temperature,prior->calibration,0.7545454545454545,0.4721742390034156,0.154058678617654,0.23282728549343268,0.06572204860023367,0.13049016892910004,0.06476812032886636,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
4,XGBoost,temperature,calibration->prior,0.6,0.677304366798579,0.23663155447679945,0.3738455475824948,0.09253210205758511,0.13049016892910004,0.03795806687151493,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
